,tags_urgents,tags_featured,jobs_title,companies_name,companies_link,companies_calcifications,companies_locations_after,short_descriptions,how_longs
43,...,empleo destacado,analista desarrollador senior,complementos humanos,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-complementos-humanos-20DDCDF8A8BEDA1B,"4,3","antioquia, medellín",empresa de servicios financieros se encuentra contratando profesionales en desarrollo de software con experiencia...,hace 7 días
44,se precisa urgente,empleo destacado,desarrollador de software,...,...,...,"antioquia, medellín",reconocida ips requiere desarrollador de software para participar del proceso de programación/implementación...,hace 7 días
45,...,...,php tech lead,bairesdev,https://co.computrabajo.com/bairesdev,"4,6","atlántico, soledad",who we are bairesdev is proud to be the fastest-growing company in america. with people on five continents and...,1 de diciembre
46,...,...,php tech lead,bairesdev,https://co.computrabajo.com/bairesdev,"4,6","boyacá, tunja",who we are bairesdev is proud to be the fastest-growing company in america. with people on five continents and...,1 de diciembre
47,...,...,php tech lead,bairesdev,https://co.computrabajo.com/bairesdev,"4,6","santander, bucaramanga",who we are bairesdev is proud to be the fastest-growing company in america. with people on five continents and...,1 de diciembre
48,...,...,php tech lead,bairesdev,https://co.computrabajo.com/bairesdev,"4,6","norte de santander, cúcuta",who we are bairesdev is proud to be the fastest-growing company in america. with people on five continents and...,1 de diciembre
49,...,...,php tech lead,bairesdev,https://co.computrabajo.com/bairesdev,"4,6","bolívar, cartagena de indias",who we are bairesdev is proud to be the fastest-growing company in america. with people on five continents and...,1 de diciembre
50,...,...,php tech lead,bairesdev,https://co.computrabajo.com/bairesdev,"4,6","valle del cauca, cali",who we are bairesdev is proud to be the fastest-growing company in america. with people on five continents and...,1 de diciembre
51,...,...,php tech lead,bairesdev,https://co.computrabajo.com/bairesdev,"4,6","atlántico, barranquilla",who we are bairesdev is proud to be the fastest-growing company in america. with people on five continents and...,1 de diciembre
52,...,...,php tech lead,bairesdev,https://co.computrabajo.com/bairesdev,"4,6","antioquia, medellín",who we are bairesdev is proud to be the fastest-growing company in america. with people on five continents and...,1 de diciembre
