,tags_urgents,tags_featured,jobs_title,companies_name,companies_link,companies_calcifications,companies_locations_after,short_descriptions,how_longs
1513,se precisa urgente,empleo destacado,agentes comerciales call center/ exp. en ventas o servicio al cliente por call center,a&m stamp sas,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-am-stamp-sas-F00758047AD960A4,...,"bogotá, d.c., bogotá, d.c.","empresa de telecomunicaciones, requiere asesores comerciales por call center con excelente actitud comercial, debe ser...",hace 3 días
1514,...,...,auxiliar administrativo / técnico o tecnólogo certificado / no domingos / no festivos,...,...,...,"bogotá, d.c., bogotá, d.c.",importante compañía del sector de telecomunicaciones busca para su equipo de trabajotécnico o tecnólogos con 6 meses...,hace 3 días
1517,...,...,servicio al cliente / chat / pqr / contrato inmediato,...,...,...,"bogotá, d.c., bogotá, d.c.",importante compañía del sector financiero busca para su equipo de trabajo técnico o tecnólogo certificado con 6 meses...,hace 3 días
1518,...,...,asesores en servicio al cliente/sin experiencia/chat,...,...,...,"bogotá, d.c., bogotá, d.c.",importante empresa del sector requiere bachilleres con 3 meses de experiencia en servicio al cliente condiciones:...,hace 3 días
1520,...,empleo destacado,servicio al cliente / chat / pqr / contrato inmediato,...,...,...,"bogotá, d.c., bogotá, d.c.",importante compañía del sector financiero busca para su equipo de trabajo técnico o tecnólogo certificado con 6 meses...,hace 3 días
1521,...,empleo destacado,asesores en servicio al cliente/sin experiencia/chat,...,...,...,"bogotá, d.c., bogotá, d.c.",importante empresa del sector requiere bachilleres con 3 meses de experiencia en servicio al cliente condiciones:...,hace 3 días
1522,...,...,asesor de servicio al cliente call center porvenir,ventas y servicios s.a.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-ventas-y-servicios-sa-943BBEC384C1FB89,"4,1","bogotá, d.c., bogotá, d.c.",¡queremos que empieces este 2023 con trabajo! te garantizaremos estabilidad laboral y un ambiente de trabajo muy...,hace 3 días
1523,...,...,agente de servicio al cliente para laborar en el aeropuerto de rionegro / dominio de ingles,activos s a s,https://co.computrabajo.com/activos,"4,2","antioquia, rionegro","importante empresa de servicios aeroportuarios requiere de manera urgente personalbachilleres, técnicos, tecnólogos o...",hace 3 días
1524,...,...,asesor bilingüe b1+ / entrevista y contratación inmediata,...,...,...,"bogotá, d.c., bogotá, d.c.","hola, si buscas un excelente sueldo, una estabilidad laboral y la oportunidad de que en menos de un año estés ganando...",hace 3 días
1525,...,empleo destacado,asesores call center servicio al cliente y venta cruzada mínimo 5 meses de experiencia,...,...,...,"bogotá, d.c., bogotá, d.c.",¡estamos interesados en que hagas parte de nuestro excelente equipo de trabajo! unicamente aplica experiencia en call...,hace 3 días
1526,...,...,asesor call center servicio al cliente,intelcia,https://co.computrabajo.com/intelcia,"4,1","bogotá, d.c., bogotá, d.c.","importante empresa solicita personas con experiencia de 6 meses de experiencia en call center en servicio al cliente,...",hace 3 días
1527,...,empleo destacado,servicio al cliente para impulso san gil,gente util s.a.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-gente-util-sa-EC1BB2AE8DDC6DF6,"4,4","santander, san gil","importante empresa de alimentos requiere para su equipo de trabajo en san gil experiencia: servicio al cliente,...",hace 3 días
1528,...,...,asesores servicio al cliente 4 meses de experiencia call o presencial,atento s.a.,https://co.computrabajo.com/atento-sa,"4,1","bogotá, d.c., bogotá, d.c.",quieres hacer parte de nuestro equipo de trabajo gran entidad esta en la búsqueda de asesores call center con...,hace 3 días
1529,...,...,asesor servicio al cliente bilingüe / sin experiencia / trabaja 5 días descansa 2,adecco colombia s.a.,https://co.computrabajo.com/adecco-colombia-sa,"4,3","bogotá, d.c., bogotá, d.c.",excelente oferta laboral ¿ quieres iniciar en el mundo laboral? ¿perfeccionar tu nivel de inglés mientras ganas dinero...,hace 3 días
1530,se precisa urgente,...,asesores de servicio al cliente,customer operation succes s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-colombian-outsourcing-solutions-179061CB3900564C,"3,8","bogotá, d.c., bogotá, d.c.",importante empresa requiere para su equipo de trabajo asesores de servicio al cliente sin experiencia call center ...,hace 3 días
1531,...,...,asesor con y sin experiencia para linea de servicio al cliente,brm s.a,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-brm-sa-4DCC74DABA912D25,"4,0","valle del cauca, cali","¡atención cali, nada mejor que terminar el año con empleo! no tienes experiencia ¡ anímate este es tu momento de estar...",hace 3 días
1532,se precisa urgente,empleo destacado,atención servicio al cliente,apex américa colombia,https://co.computrabajo.com/apex,...,"bogotá, d.c., bogotá, d.c.",importante multinacional bpo requiere para su equipo de trabajo asesores call center con experiencia en servicio al...,hace 3 días
1533,...,...,urgente asesor servicio al cliente call center,customer operation succes s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-colombian-outsourcing-solutions-179061CB3900564C,"3,8","bogotá, d.c., bogotá, d.c.",importante empresa de telecomunicaciones requiere para su equipo de trabajo asesores con experiencia mínima de 6 meses...,hace 3 días
1534,...,empleo destacado,"asesores linea servicio al cliente call center por temporada ,no hora conexión, formación remunerada",grupo gss,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de--avanza-colombia-sas-43A2A041D1D2C4B8,"3,9","bogotá, d.c., bogotá, d.c.",importante empresa del sector de telecomunicaciones líder en contac center esta en búsqueda de asesores de líneas de...,hace 3 días
1535,se precisa urgente,empleo destacado,asesores con y sin experiencia servicio al cliente urgente posibilidadn de trabajo en casa,brm s.a,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-brm-sa-4DCC74DABA912D25,"4,0","antioquia, medellín","¡atención medellin, nada mejor que terminar el año con empleo! no tienes experiencia ¡ anímate este es tu momento de...",hace 3 días
1536,...,empleo destacado,"agente bilingüe ¡solo servicio al cliente con altas remuneraciones! 42 horas, 2 days off",...,...,...,"bogotá, d.c., bogotá, d.c.","recuerda que la oferta laboral es presencial en bogota y es solo servico al cliente (nada de ventas, retenciones,...",hace 3 días
1537,...,empleo destacado,"bilingual agent (costumer service campaign, earn up to 3'200.000) 42 h, 2 days off",...,...,...,"bogotá, d.c., bogotá, d.c.","recuerda que la oferta laboral es presencial en bogota y es solo servico al cliente (nada de ventas, retenciones,...",hace 3 días
1538,...,empleo destacado,asesor servicio al cliente,multiempleos s.a.,https://co.computrabajo.com/multiempleos,"4,2","bogotá, d.c., bogotá, d.c.","importante compañia del sector retail se encuentra en la basqueada de asesores comerciales vendedores, bachiller con...",hace 3 días
1539,...,empleo destacado,asesores con y sin experiencia servicio al cliente urgente posibilidad de trabajar en casa,brm s.a,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-brm-sa-4DCC74DABA912D25,"4,0","antioquia, medellín","¡atención bogotá, nada mejor que terminar el año con empleo! no tienes experiencia ¡ anímate este es tu momento de...",hace 3 días
1540,se precisa urgente,empleo destacado,reconocido e importante call center bpo solicita urgente representantes de servicio al cliente,...,...,...,"antioquia, medellín","¿te apasiona dar lo mejor de ti y entregar siempre soluciones oportunas? buscamos tu talento y si estás aquí, es...",hace 3 días
1541,se precisa urgente,empleo destacado,"call center bilingüe (sueldo de 3'200.000) servicio al cliente + 42 horas, 2 days off",atento s.a.,https://co.computrabajo.com/atento-sa,"4,1","bogotá, d.c., bogotá, d.c.","recuerda que la oferta laboral es presencial en bogota y es solo servico al cliente (nada de ventas, retenciones,...",hace 3 días
1542,...,...,ejecutivo comercial y de servicio al cliente mantenimiento,eurolift s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-eurolift-sas-E748E6E2A8D048E2,"4,0","bogotá, d.c., bogotá, d.c.","empresa de transporte vertical dedicada a la fabricacion, instalacion y mantenimiento de ascensores requiere para su...",hace 3 días
1543,se precisa urgente,...,asesores en servicio al cliente/sin experiencia,...,...,...,"bogotá, d.c., bogotá, d.c.",importante empresa del sector requiere bachilleres con 3 meses de experiencia en servicio al cliente condiciones:...,hace 3 días
1544,...,...,representante bilingue ¡contratación inmediata! on site campaign,sutherland global services sgs,https://co.computrabajo.com/sutherland,"4,5","bogotá, d.c., bogotá, d.c.","if you are passionate about customer service, bring your experience to our team, and help resolve our customers'...",hace 3 días
1545,...,...,"domiciliario, servicio al cliente",mcdonalds,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-mcdonalds-165B7DDC7343279E,"4,3","córdoba, montería","cadena multinacional de restaurantes busca incorporar a su equipo de trabajo jóvenes con altos niveles de energía,...",hace 3 días
1546,...,empleo destacado,eres auxiliar de enfermería culminado (graduado) y te gusta el servicio al cliente,emtelco cx & bpo,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-emtelco-cxbpo-301DB1045D553975,"4,3","bogotá, d.c., bogotá, d.c.","bienvenidos al proceso de selección virtual de emtelco!!! importante empresa de contac center y bpo, requiere para su...",hace 3 días
1547,...,...,asesor servicio al cliente financiero para cali,activos s a s,https://co.computrabajo.com/activos,"4,2","valle del cauca, cali",importante empresa financiera requiere para su equipo de trabajo estudiantes o graduados de carreras técnicas (afines...,hace 3 días
1549,...,...,asesor servicio al cliente,interactivo contact center sa,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-interactivo-contact-center-sa-3C2307582FF236C2,"4,1","bogotá, d.c., bogotá, d.c.",importante empresa del sector se encuentra en búsqueda de asesores call center servicio al cliente con mínimo 6 meses...,hace 3 días
1550,...,...,agente servicio al cliente call center,intelcia,https://co.computrabajo.com/intelcia,"4,1","bogotá, d.c., bogotá, d.c.","buscamos asesores como tú, 100% apasionados, que sean capaces de reflejar a través de los servicios que presta la...",hace 3 días
1551,...,...,asesores servicio al cliente sin experiencia,atento s.a.,https://co.computrabajo.com/atento-sa,"4,1","bogotá, d.c., bogotá, d.c.",quieres hacer parte de nuestro equipo de trabajo gran entidad esta en la búsqueda de asesores call center sin...,hace 3 días
