,tags_urgents,tags_featured,jobs_title,companies_name,companies_link,companies_calcifications,companies_locations_after,short_descriptions,how_longs
3529,...,...,vendedor/a con manejo de caja,...,...,...,"antioquia, medellín","importante empresa de colchones, requiere para sus puntos de venta, bachiller para desempeñarse como vendedor/a con...",ayer
3530,...,...,auxiliar de tienda (cc unicentro),eficacia,https://co.computrabajo.com/eficacia,"4,4","valle del cauca, cali","importante organización que se dedica a la importación y venta de productos de colección, se encuentra en la búsqueda...",ayer
3531,...,empleo destacado,auxiliar de acondicionamiento,soluciones inmediatas,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-soluciones-inmediatas--80278A6F3F0B3BB3,"4,2","cundinamarca, tocancipá",importante empresa de logística multinacional requiere auxiliar de acondicionamientobachilleres con experiencia...,ayer
3532,...,...,auxiliar bodega operario,soluciones inmediatas,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-soluciones-inmediatas--80278A6F3F0B3BB3,"4,2","cundinamarca, tocancipá","reconocida empresa del sector farmacéutico se encuentra en la búsqueda de auxiliar de bodega/acondicionamiento, debe...",ayer
3533,...,...,administrador punto de venta,logistica laboral s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-logistica-laboral-sas-C5CD5BCC5BF121BC,"4,2","cundinamarca, soacha","importante y reconocida empresa requiere administrador punto de venta profesional en administración, mercadeo o áreas...",ayer
3534,...,...,auxiliar de bodega,logistica laboral s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-logistica-laboral-sas-C5CD5BCC5BF121BC,"4,2","bogotá, d.c., bogotá, d.c.",importante y reconocido restaurante de comida oriental requiere. bachiller con minimo 1 año de experiencia en el csrgo...,ayer
3535,...,...,currier moto,alianza temporal s.a.s,https://co.computrabajo.com/alianzatemporal,"4,1","bogotá, d.c., bogotá, d.c.","importante empresa del sector logístico requiere de mensajeros motorizados que cuenten con moto propia, sin...",ayer
3536,...,...,conductor tracto camión y/o tractomula/ licencia c3/bogotá/tocancipa,adecco colombia s.a.,https://co.computrabajo.com/adecco-colombia-sa,"4,3","bogotá, d.c., bogotá, d.c.",importante multinacional sector logística se encuentra en búsqueda de trabajo conductores tractocamión. beneficios: ...,ayer
3537,...,...,ayudantes de producción con y sin experiencia madrid,...,...,...,"cundinamarca, madrid","importante empresa del sector industrial solicita ayudantes de producción, hombres y mujeres, desde 5 primaria en...",ayer
3538,...,...,controlador de rutas / lugar de trabajo: itagüí,jobandtalent co s a s,https://co.computrabajo.com/jobandtalent,"4,1","antioquia, itagüí",en jobandtalent empleamos a más de 15.000 profesionales en toda colombia y ofrecemos oportunidades de empleo de forma...,ayer
3539,se precisa urgente,empleo destacado,locutor polifuncional para cadena de supermercados,...,...,...,"bogotá, d.c., bogotá, d.c.","reconocida cadena de supermercados requiere para su equipo de trabajo persona bachiller colaboradora, responsable y...",ayer
3540,...,empleo destacado,analista de planeacion,soluciones inmediatas,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-soluciones-inmediatas--80278A6F3F0B3BB3,"4,2","cundinamarca, funza","importante compañía ubicada en el parque industrial latam ( siberia frente a simens , antes del peaje de la 80)...",ayer
3541,...,...,mensajero motorizado,eficacia,https://co.computrabajo.com/eficacia,"4,4","valle del cauca, cali",reconocida empresa de logística especializada requiere mensajeros motorizados con mínimo 1 año de experiencia como...,ayer
3542,se precisa urgente,...,analista de proyectos,soluciones inmediatas,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-soluciones-inmediatas--80278A6F3F0B3BB3,"4,2","bogotá, d.c., bogotá, d.c.","estamos en busqueda de personal como tu profesional en carreras a fines administración de empresas,  ingeniería...",ayer
